varos,sorszam,valasztokorzet,lista,szavazatok,fidesz_aranya_valasztokorben,fidesz_aranya_teruleten,fidesz_aranya_diff,helyi_megjelentek_szama,atjelentkezett_megjelentek_szama,atjelentkezettek_aranya
"Kecskemét",049,"Kecskemét - 049",FIDESZ-KDNP,322,43.048128342246,49.3213709560138,-6.27324261376785,756,0,0.0
Bicske,007,"Bicske - 007",FIDESZ-KDNP,400,46.029919447641,52.3067637830659,-6.27684433542489,875,0,0.0
"Jászberény",005,"Jászberény - 005",FIDESZ-KDNP,288,40.9090909090909,47.199132960148,-6.29004205105711,711,0,0.0
"Környe",002,"Környe - 002",FIDESZ-KDNP,235,35.9327217125382,42.224764992995,-6.29204328045676,655,0,0.0
"Mány",001,"Mány - 001",FIDESZ-KDNP,371,47.5032010243278,53.7954601612867,-6.29225913695891,797,0,0.0
Kerecsend,001,"Kerecsend - 001",FIDESZ-KDNP,363,64.7058823529412,71.002096898797,-6.29621454585588,566,15,2.58175559380379
"Nyíradony",004,"Nyíradony - 004",FIDESZ-KDNP,273,61.6252821670429,67.9242776637292,-6.29899549668626,449,0,0.0
Szanda,001,"Szanda - 001",FIDESZ-KDNP,117,50.0,56.304347826087,-6.30434782608696,239,3,1.2396694214876
"Budapest XIV. kerület",068,"Budapest XIV. kerület - 068",FIDESZ-KDNP,266,29.3274531422271,35.6335037559549,-6.30605061372783,913,0,0.0
Gyula,025,"Gyula - 025",FIDESZ-KDNP,272,38.9684813753582,45.2752402886019,-6.30675891324375,703,0,0.0
"Jászberény",006,"Jászberény - 006",FIDESZ-KDNP,285,40.8895265423242,47.199132960148,-6.30960641782378,700,0,0.0
Zalaegerszeg,037,"Zalaegerszeg - 037",FIDESZ-KDNP,341,43.1645569620253,49.4820238141564,-6.31746685213107,795,0,0.0
Szeged,316,"Szeged - 316",FIDESZ-KDNP,251,31.2189054726368,37.5377626896143,-6.3188572169775,813,0,0.0
"Örkény",001,"Örkény - 001",FIDESZ-KDNP,199,47.3809523809524,53.7026231975569,-6.32167081660451,421,27,6.02678571428571
"Pécs",013,"Pécs - 013",FIDESZ-KDNP,153,32.1428571428571,38.4655803319637,-6.32272318910655,479,0,0.0
"Biatorbágy",003,"Biatorbágy - 003",FIDESZ-KDNP,381,41.1447084233261,47.47242836492,-6.32771994159388,935,0,0.0
"Tornyospálca",002,"Tornyospálca - 002",FIDESZ-KDNP,221,55.8080808080808,62.1370785545336,-6.32899774645274,400,0,0.0
"Csobánka",003,"Csobánka - 003",FIDESZ-KDNP,273,41.4264036418816,47.756080664568,-6.3296770226864,661,0,0.0
Medina,001,"Medina - 001",FIDESZ-KDNP,216,62.7906976744186,69.1311978938131,-6.34050021939448,347,4,1.13960113960114
"Sárvár",013,"Sárvár - 013",FIDESZ-KDNP,277,50.6398537477148,56.9853183316101,-6.34546458389531,553,0,0.0
"Ásotthalom",001,"Ásotthalom - 001",FIDESZ-KDNP,249,51.2345679012346,57.5801330545294,-6.34556515329484,488,26,5.05836575875486
"Budapest XVII. kerület",010,"Budapest XVII. kerület - 010",FIDESZ-KDNP,227,33.9312406576981,40.2786003966702,-6.34735973897212,670,0,0.0
Szombathely,025,"Szombathely - 025",FIDESZ-KDNP,241,43.3453237410072,49.6984379629394,-6.35311422193224,567,0,0.0
"Budapest IX. kerület",035,"Budapest IX. kerület - 035",FIDESZ-KDNP,182,31.2714776632302,37.6332935320301,-6.36181586879986,588,0,0.0
"Budapest IX. kerület",014,"Budapest IX. kerület - 014",FIDESZ-KDNP,212,31.2684365781711,37.6332935320301,-6.36485695385901,680,0,0.0
"Veszprém",048,"Veszprém - 048",FIDESZ-KDNP,101,37.8277153558052,44.1965513687109,-6.36883601290571,272,0,0.0
Szepetnek,001,"Szepetnek - 001",FIDESZ-KDNP,180,44.0097799511002,50.3832683539285,-6.37348840282826,412,0,0.0
"Hódmezővásárhely",009,"Hódmezővásárhely - 009",FIDESZ-KDNP,229,42.803738317757,49.1820473129461,-6.37830899518912,543,0,0.0
"Budapest X. kerület",023,"Budapest X. kerület - 023",FIDESZ-KDNP,163,32.4055666003976,38.7879054710566,-6.382338870659,508,0,0.0
"Tiszaújváros",003,"Tiszaújváros - 003",FIDESZ-KDNP,48,27.4285714285714,33.8129263139427,-6.38435488537125,175,0,0.0
"Cegléd",003,"Cegléd - 003",FIDESZ-KDNP,342,42.5373134328358,48.9227981899875,-6.3854847571517,809,0,0.0
"Martonvásár",003,"Martonvásár - 003",FIDESZ-KDNP,340,41.5140415140415,47.9089828825064,-6.39494136846484,823,0,0.0
Ajka,010,"Ajka - 010",FIDESZ-KDNP,225,38.9273356401384,45.3228528448999,-6.39551720476146,579,0,0.0
Dunakeszi,026,"Dunakeszi - 026",FIDESZ-KDNP,337,33.8014042126379,40.2001496205698,-6.39874540793186,1003,0,0.0
"Délegyháza",002,"Délegyháza - 002",FIDESZ-KDNP,320,41.0783055198973,47.4859401548808,-6.40763463498354,783,73,8.52803738317757
"Kaposvár",026,"Kaposvár - 026",FIDESZ-KDNP,220,37.037037037037,43.4576231121415,-6.42058607510445,600,0,0.0
"Ágfalva",002,"Ágfalva - 002",FIDESZ-KDNP,291,45.046439628483,51.4797415533719,-6.43330192488895,660,0,0.0
Debrecen,070,"Debrecen - 070",FIDESZ-KDNP,326,42.4479166666667,48.8831492940873,-6.43523262742065,771,0,0.0
Csabrendek,002,"Csabrendek - 002",FIDESZ-KDNP,234,59.2405063291139,65.6764110974566,-6.43590476834264,397,0,0.0
"Perkáta",002,"Perkáta - 002",FIDESZ-KDNP,200,43.956043956044,50.3946717491138,-6.43862779306988,461,12,2.5369978858351
